GISJOIN,YEAR,STUSAB,STATE,STATEA,COUNTY,GEOID,TotalPopulaton,White,Black,AIAN,Asian,NHPI,Other,TwoOrMore,NotHispanicOrLatino,HispanicOrLatino,TotalPopulation25Over,NoSchooling,EarlyChildhoodEducation,HighSchool,SomeCollege,Associates,Bachelors,TotalHouseholds,LimitedEnglishSpeaking,NotLimitedEnglishSpeaking,MedianIncome,HouseholdsWithElectronics,HouseholdsWithComputer,HouseholdsWithMobileDevices,HouseholdsNoComputers
G0100010,2016-2020,AL,Alabama,01,Autauga County,05000US01001,55639,42150,10866,155,649,24,374,2842,54038,1601,37860,275,634,15244,7663,3323,10721,21559,101,21458,57982,19711,15983,18353,1848
G0100030,2016-2020,AL,Alabama,01,Baldwin County,05000US01003,218289,186504,19153,1514,2033,10,3398,11354,208342,9947,155563,1451,2383,53261,34475,14357,49636,84047,666,83381,61756,77122,65337,73537,6925
G0100050,2016-2020,AL,Alabama,01,Barbour County,05000US01005,25026,11587,11929,88,122,1,777,1044,23916,1110,17797,384,1003,9471,3487,1385,2067,9322,200,9122,34990,7437,4890,6957,1885
G0100070,2016-2020,AL,Alabama,01,Bibb County,05000US01007,22374,17138,5045,12,56,0,9,228,21774,600,15987,323,655,9284,2824,1087,1814,7259,46,7213,51721,6041,4078,5709,1218
G0100090,2016-2020,AL,Alabama,01,Blount County,05000US01009,57755,54271,808,55,236,55,1037,2586,52393,5362,39814,805,2145,17863,8505,5220,5276,21205,372,20833,48922,18032,14179,17095,3173
G0100110,2016-2020,AL,Alabama,01,Bullock County,05000US01011,10173,2663,6980,0,137,0,318,150,9349,824,6784,81,322,4106,1199,379,697,3429,117,3312,33866,2732,1894,2561,697
G0100130,2016-2020,AL,Alabama,01,Butler County,05000US01013,19726,10183,8795,66,261,0,98,646,19436,290,13820,305,191,7815,2334,970,2205,6649,31,6618,44850,5275,4274,4799,1374
G0100150,2016-2020,AL,Alabama,01,Calhoun County,05000US01015,114324,83801,24190,358,925,327,1871,5704,109918,4406,78967,1026,2803,35161,19007,6080,14890,44572,453,44119,50128,39498,30615,37157,5074
G0100170,2016-2020,AL,Alabama,01,Chambers County,05000US01017,33427,19015,13372,81,368,9,264,636,32584,843,23771,486,848,11635,5166,2203,3433,13582,99,13483,43875,11635,8382,10968,1947
G0100190,2016-2020,AL,Alabama,01,Cherokee County,05000US01019,26035,23970,1250,150,26,0,212,854,25603,432,19143,255,942,9586,3786,2098,2476,10836,227,10609,42509,8999,6319,8472,1837
G0100210,2016-2020,AL,Alabama,01,Chilton County,05000US01021,44147,36260,4268,504,195,0,1571,2698,40724,3423,30153,781,780,16994,5064,2427,4107,17140,347,16793,52141,14413,10357,13508,2727
G0100230,2016-2020,AL,Alabama,01,Choctaw County,05000US01023,12755,7253,5398,7,25,0,11,122,12686,69,9263,130,434,4385,1994,1068,1252,5330,0,5330,36634,4166,3088,3854,1164
G0100250,2016-2020,AL,Alabama,01,Clarke County,05000US01025,23866,12520,10909,18,109,0,47,526,23726,140,16703,258,510,9078,3118,1436,2303,9323,18,9305,37345,7186,5258,6477,2137
G0100270,2016-2020,AL,Alabama,01,Clay County,05000US01027,13285,11068,2035,20,33,0,6,246,12875,410,9371,74,612,4821,1779,981,1104,5153,2,5151,42678,4211,3036,3888,942
G0100290,2016-2020,AL,Alabama,01,Cleburne County,05000US01029,14952,13955,394,21,1,0,281,600,14572,380,10538,147,562,5212,2291,638,1688,5835,13,5822,46320,4844,3516,4532,991
G0100310,2016-2020,AL,Alabama,01,Coffee County,05000US01031,52238,39014,8906,523,843,0,675,4554,48227,4011,35936,396,1147,13491,8510,4584,7808,19951,194,19757,56799,17877,14252,16747,2074
G0100330,2016-2020,AL,Alabama,01,Colbert County,05000US01033,54957,43279,8909,313,282,57,985,2264,53366,1591,39077,469,1144,18429,9017,3230,6788,21797,107,21690,47962,17978,13083,17058,3819
G0100350,2016-2020,AL,Alabama,01,Conecuh County,05000US01035,12219,6176,5872,20,70,0,0,162,12160,59,8826,97,223,5133,1564,588,1221,4585,0,4585,35444,3229,2138,3065,1356
G0100370,2016-2020,AL,Alabama,01,Coosa County,05000US01037,10696,7052,3451,32,0,0,68,186,10559,137,8281,52,221,4603,1870,578,957,4016,8,4008,43571,3534,2387,3318,482
G0100390,2016-2020,AL,Alabama,01,Covington County,05000US01039,37096,31260,4707,78,245,32,133,1282,36439,657,26366,344,964,12379,5836,2726,4117,14995,23,14972,42566,12167,8940,11331,2828
G0100410,2016-2020,AL,Alabama,01,Crenshaw County,05000US01041,13826,9890,3267,104,183,8,58,632,13521,305,9684,225,442,5081,1315,829,1792,5011,72,4939,42611,3980,2884,3693,1031
G0100430,2016-2020,AL,Alabama,01,Cullman County,05000US01043,83345,78295,943,295,304,0,758,5500,79669,3676,58084,777,2365,25907,13670,6411,8954,31733,225,31508,48388,27124,20044,25679,4609
G0100450,2016-2020,AL,Alabama,01,Dale County,05000US01045,49293,35286,10193,413,680,0,1081,3280,46008,3285,33522,463,1157,13661,8736,3398,6107,19405,253,19152,45644,17121,12685,16078,2284
G0100470,2016-2020,AL,Alabama,01,Dallas County,05000US01047,38184,10394,27290,48,250,11,1,380,38076,108,25611,351,691,12346,4957,3003,4263,15409,31,15378,33317,11719,8013,10879,3690
G0100490,2016-2020,AL,Alabama,01,DeKalb County,05000US01049,71430,60554,1093,850,76,92,6256,5018,60900,10530,48306,1402,3884,21138,10065,5064,6753,26365,531,25834,42267,22641,16703,21088,3724
G0100510,2016-2020,AL,Alabama,01,Elmore County,05000US01051,81526,61073,17230,241,749,0,588,3290,79099,2427,56633,403,1900,22868,11745,5097,14620,29794,358,29436,62324,26849,21928,25582,2945
G0100530,2016-2020,AL,Alabama,01,Escambia County,05000US01053,36775,22757,11774,1391,103,43,137,1140,35887,888,25703,201,1012,14893,4445,1939,3213,12931,29,12902,35558,9579,6255,9079,3352
G0100550,2016-2020,AL,Alabama,01,Etowah County,05000US01055,102721,81298,16519,529,808,3,1300,4528,98534,4187,72188,821,2167,31707,18013,6705,12775,38765,282,38483,44934,33745,24943,31660,5020
G0100570,2016-2020,AL,Alabama,01,Fayette County,05000US01057,16406,13884,2003,0,108,4,1,812,16317,89,11572,188,438,6137,2461,926,1422,6805,12,6793,41469,5410,3855,5178,1395
G0100590,2016-2020,AL,Alabama,01,Franklin County,05000US01059,31587,26017,1241,326,273,6,3175,1098,26003,5584,21071,416,1515,10785,3628,1556,3171,11017,491,10526,41174,8075,5426,7586,2942
G0100610,2016-2020,AL,Alabama,01,Geneva County,05000US01061,26383,22678,2678,312,42,10,266,794,25308,1075,18688,265,828,9057,3983,2110,2445,10572,25,10547,41569,8879,6470,8252,1693
G0100630,2016-2020,AL,Alabama,01,Greene County,05000US01063,8221,1430,6489,38,0,0,39,450,8000,221,5768,156,156,3089,1302,481,584,3178,21,3157,26688,2182,1158,2087,996
G0100650,2016-2020,AL,Alabama,01,Hale County,05000US01065,14754,5668,8726,0,28,0,15,634,14744,10,10023,233,289,5146,1814,978,1563,5490,0,5490,30793,4045,2603,3843,1445
